Ingles,Portugues
Abolish,Abolir
Abortion,Aborto
Absence,Ausência
Absent,Ausente
Absorb,Absorver
Abstract,Resumo
Absurd,Absurdo
Abuse,Abuso
Academy,Academia
Accelerate,Acelerar
Accent,Sotaque
Acceptance,Aceitação
Accessible,Acessível
Accidentally,Acidentalmente
Accommodate,Acomodar
Accommodation,Alojamento
Accomplish,Concluir
Accomplishment,Realização
Accordingly,De acordo
Accountability,Responsabilidade
Accountable,Responsável
Accountant,Contador
Accumulate,Acumular
Accumulation,Acumulação
Accuracy,Precisão
Accurately,Com precisão
Accusation,Acusação
Accused,Acusado
Acid,Ácido
Acquisition,Aquisição
Acre,Acre
Activate,Ativar
Activation,Ativação
Activist,Ativista
Acute,Agudo
Adaptation,Adaptação
Addiction,Vício
Additionally,Adicionalmente
Adequate,Adequado
Adequately,Adequadamente
Adhere,Aderir
Adjacent,Adjacente
Adjust,Ajustar
Adjustment,Ajuste
Administer,Administrar
Administrative,Administrativo
Administrator,Administrador
Admission,Admissão
Adolescent,Adolescente
Adoption,Adoção
Adverse,Adverso
Advocate,Advogado
Aesthetic,Estética
Affection,Afeição
Affordable,Acessível
Aftermath,Consequências
Aged,Envelhecido
Aggression,Agressão
Agricultural,Agrícola
Agriculture,Agricultura
Aide,Assessor
Alert,Alerta
Alien,Estrangeiro
Align,Alinhar
Alignment,Alinhamento
Alike,Parecido
Allegation,Alegação
Allege,Alegar
Allegedly,Alegadamente
Alliance,Aliança
Allocate,Alocar
Allocation,Alocação
Allowance,Mesada
Ally,Aliado
Alongside,Ao lado
Altogether,Completamente
Aluminum,Alumínio
Amateur,Amador
Ambassador,Embaixador
Ambitious,Ambicioso
Ambulance,Ambulância
Amend,Alterar
Amendment,Alteração
Amid,Entre
Amusing,Divertido
Analogy,Analogia
Analyst,Analista
Ancestor,Antepassado
Anchor,Âncora
Angel,Anjo
Animation,Animação
Annually,Anualmente
Anonymous,Anônimo
Anticipate,Antecipar
Anxiety,Ansiedade
Apology,Desculpa
Apparatus,Aparelho
Apparel,Vestuário
Appealing,Atraente
Appetite,Apetite
